d=1,e=d,b=1,a=e,c=7,d=c,a=b,d=7,a=9,d=c,b=e,b=e,e=3,a=8,a=0,e=2,b=e,b=2
d=9,c=0,a=6,d=a,d=1,c=a,c=d,a=d,d=1,c=6,e=d,a=d,e=4,c=3,b=3,b=e,c=e,c=4
d=5,e=5,a=e,b=8,b=a,e=a,b=8,e=5,d=e,c=7,c=e,d=b,d=4,a=0,a=7,e=6,d=8,a=7
d=4,d=6,a=6,c=4,d=a,d=6,e=0,c=d,e=c,e=c,b=0,d=a,b=8,a=a,a=9,b=e,e=7,d=6
b=3,a=0,c=b,c=c,b=7,a=c,d=4,c=d,b=4,b=6,d=d,b=c,d=c,a=1,b=a,c=d,d=2,b=1
e=3,d=1,b=d,c=3,d=5,b=b,d=d,c=2,a=6,b=d,d=b,c=9,d=1,c=a,a=0,c=5,c=7,c=7
d=9,c=d,c=5,c=7,e=3,c=9,d=d,a=5,d=d,c=2,c=d,e=2,c=3,d=c,d=4,e=3,d=6,e=3
a=9,b=8,a=a,d=b,a=b,e=1,c=d,d=e,d=c,a=4,e=0,a=7,b=9,c=7,d=b,c=3,d=c,b=9
b=0,a=b,a=1,a=a,c=b,e=7,d=3,c=7,c=9,d=0,d=a,c=b,a=5,b=9,a=7,e=6,a=2,c=0
e=4,e=e,c=9,d=5,d=e,b=d,d=9,e=b,a=9,b=c,d=8,a=8,e=c,b=b,e=1,a=0,b=7,c=9
a=7,d=a,a=2,a=a,e=d,b=8,c=e,d=0,d=9,d=2,b=e,c=7,a=6,a=2,b=b,c=b,b=7,b=7
d=1,e=3,e=d,c=3,e=5,a=2,e=9,d=d,e=c,c=a,d=c,d=a,c=1,c=3,d=c,d=e,c=c,e=3
b=6,c=1,b=8,a=2,e=1,c=8,c=0,b=1,c=4,d=1,c=2,c=0,b=b,a=e,d=3,d=5,b=1,c=0
c=8,b=9,d=b,c=4,d=8,c=4,a=6,c=7,a=b,b=d,a=0,c=a,a=d,c=0,d=2,d=4,b=7,d=4
c=9,e=2,e=c,d=e,d=4,c=6,e=e,a=d,d=4,c=1,c=5,a=e,a=1,a=3,a=3,d=d,c=7,a=3
d=9,a=d,a=a,e=a,d=a,c=d,b=5,b=c,c=7,e=a,e=3,d=8,e=4,e=d,a=1,b=9,b=b,a=1
b=6,b=4,d=8,d=8,b=6,a=b,b=d,a=a,b=8,a=b,c=2,a=7,a=1,b=7,d=a,c=9,d=c,d=9
e=2,d=2,e=6,c=4,b=c,e=6,d=2,d=b,b=5,c=8,e=d,c=c,c=c,e=e,a=b,a=b,a=d,c=8
d=2,c=4,e=7,c=4,d=c,d=0,a=0,b=9,c=b,d=6,d=b,d=5,c=2,e=3,c=4,e=1,b=b,d=5
c=7,b=9,e=7,d=c,c=6,b=2,d=e,c=8,d=8,d=d,a=0,e=1,e=8,c=0,e=0,b=7,b=4,b=4
d=6,d=7,e=2,b=1,d=3,a=6,b=b,c=2,d=6,c=8,d=3,e=6,a=2,d=0,e=9,d=e,b=4,e=9
e=8,c=6,e=c,c=7,a=9,d=2,c=e,d=2,b=9,b=2,d=d,c=e,d=e,c=c,d=d,c=6,c=3,b=2
e=2,e=7,e=e,b=e,d=b,c=e,a=b,a=5,d=0,d=5,a=e,a=7,a=b,e=a,c=7,b=a,a=3,b=7
e=8,a=5,d=a,e=d,d=d,c=5,a=e,a=7,b=6,c=9,c=5,d=5,c=a,d=7,d=a,e=a,e=b,c=7
c=5,a=c,b=5,b=6,e=1,d=c,c=c,c=4,a=6,b=c,b=b,b=2,b=3,d=3,d=3,b=c,d=e,c=4
a=0,a=a,e=a,b=8,d=a,c=0,b=0,c=5,e=e,e=b,e=0,e=2,a=b,e=8,e=d,d=5,d=8,b=0
d=8,a=6,a=0,c=2,d=c,b=2,b=d,b=9,e=b,d=e,c=6,d=1,d=9,b=9,a=3,e=5,b=8,c=6
a=7,c=a,a=a,c=a,a=1,d=5,d=9,a=a,b=d,c=8,c=7,d=6,d=b,d=1,a=2,a=9,e=8,d=1
d=9,c=d,c=5,d=3,a=c,d=0,c=7,e=d,e=e,c=a,d=7,d=6,c=a,a=0,a=0,a=d,e=5,c=5
b=5,b=b,d=b,b=2,e=9,a=7,b=5,a=1,a=b,a=3,e=e,d=a,e=b,d=1,e=1,c=5,a=2,c=5
e=9,d=9,d=e,d=7,c=1,a=9,e=c,d=0,e=9,e=0,a=5,c=8,c=e,a=3,a=8,e=a,a=d,e=8
a=2,e=6,d=e,b=7,b=1,a=4,c=a,e=c,b=6,d=5,b=9,a=1,d=3,a=c,b=9,a=6,b=5,c=4
d=4,c=d,c=d,a=2,e=9,e=9,a=7,e=3,d=a,e=4,b=a,c=0,e=0,e=4,e=e,e=1,d=b,e=1
b=6,e=9,d=5,a=4,c=2,e=9,d=2,b=4,b=e,b=1,d=8,c=7,c=6,e=b,b=b,b=a,a=6,c=6
e=5,c=e,e=c,a=e,b=9,b=b,e=7,a=3,a=a,c=a,e=1,b=e,a=b,d=c,b=4,c=d,e=3,c=3
c=6,a=c,c=a,d=4,a=d,c=9,d=4,e=2,a=1,b=8,b=0,d=d,a=c,b=0,d=2,e=d,d=a,e=2
e=4,d=e,c=5,e=c,d=1,e=c,c=9,a=d,a=a,a=c,c=a,d=9,e=c,b=8,c=4,e=7,a=d,a=9
d=0,e=0,b=e,a=0,d=a,d=b,d=6,b=6,e=2,d=d,e=7,c=3,c=2,a=0,c=9,e=7,a=1,e=7
c=2,b=4,e=8,d=8,a=1,c=0,a=0,a=b,a=b,c=3,d=3,d=1,e=b,e=8,a=b,e=e,d=8,e=8
b=7,c=0,c=9,e=9,b=3,e=9,a=3,c=5,b=3,a=b,a=b,a=a,b=0,b=a,a=e,a=5,a=e,b=3
a=3,c=5,d=a,c=c,b=7,d=5,d=c,a=5,c=6,a=8,e=a,b=a,b=2,a=d,a=2,e=1,a=7,b=2
d=3,d=4,b=d,d=7,b=5,a=d,a=d,c=a,b=9,e=3,d=7,b=1,a=1,e=a,a=a,d=7,e=3,a=1
c=4,b=2,b=b,c=c,d=c,e=c,c=3,b=8,a=5,c=a,b=3,d=5,b=7,c=e,a=7,b=3,e=8,b=3
a=4,d=a,d=1,c=0,b=c,c=6,d=4,c=3,c=b,c=4,e=b,d=3,c=d,a=4,a=9,c=9,d=3,d=3
b=8,b=8,a=2,a=b,e=7,e=3,e=7,b=e,a=9,e=a,e=a,c=3,d=8,a=e,b=5,e=0,b=7,c=3
b=8,e=3,a=6,e=2,e=2,e=0,e=a,d=0,b=2,b=3,e=1,e=a,a=a,b=a,c=a,c=5,c=4,e=6
a=0,d=0,e=4,e=a,c=4,e=c,d=d,d=e,a=7,d=6,d=3,e=4,a=a,b=d,a=0,e=6,a=4,d=3
